"","Cases","Year"
"1",9,2017
"2",99,2017.01923076923
"3",119,2017.03846153846
"4",268,2017.05769230769
"5",361,2017.07692307692
"6",166,2017.09615384615
"7",846,2017.11538461538
"8",20,2017.13461538462
"9",751,2017.15384615385
"10",23,2017.17307692308
"11",196,2017.19230769231
"12",665,2017.21153846154
"13",25,2017.23076923077
"14",339,2017.25
"15",463,2017.26923076923
"16",383,2017.28846153846
"17",412,2017.30769230769
"18",193,2017.32692307692
"19",353,2017.34615384615
"20",398,2017.36538461538
"21",212,2017.38461538462
"22",400,2017.40384615385
"23",337,2017.42307692308
"24",377,2017.44230769231
"25",464,2017.46153846154
"26",290,2017.48076923077
"27",803,2017.5
"28",24,2017.51923076923
"29",212,2017.53846153846
"30",525,2017.55769230769
"31",250,2017.57692307692
"32",2173,2017.59615384615
"33",30,2017.61538461538
"34",498,2017.63461538462
"35",309,2017.65384615385
"36",260,2017.67307692308
"37",374,2017.69230769231
"38",350,2017.71153846154
"39",210,2017.73076923077
"40",1492,2017.75
"41",83,2017.76923076923
"42",13,2017.78846153846
"43",271,2017.80769230769
"44",199,2017.82692307692
"45",935,2017.84615384615
"46",113,2017.86538461538
"47",19,2017.88461538462
"48",456,2017.90384615385
"49",922,2017.92307692308
"50",213,2017.94230769231
"51",88,2017.96153846154
"52",405,2017.98076923077
"53",24,2018
"54",107,2018.01923076923
"55",225,2018.03846153846
"56",405,2018.05769230769
"57",290,2018.07692307692
"58",946,2018.09615384615
"59",19,2018.11538461538
"60",350,2018.13461538462
"61",377,2018.15384615385
"62",377,2018.17307692308
"63",279,2018.19230769231
"64",279,2018.21153846154
"65",279,2018.23076923077
"66",396,2018.25
"67",396,2018.26923076923
"68",506,2018.28846153846
"69",377,2018.30769230769
"70",279,2018.32692307692
"71",518,2018.34615384615
"72",396,2018.36538461538
"73",279,2018.38461538462
"74",377,2018.40384615385
"75",506,2018.42307692308
"76",373,2018.44230769231
"77",518,2018.46153846154
"78",265,2018.48076923077
"79",348,2018.5
"80",435,2018.51923076923
"81",359,2018.53846153846
"82",491,2018.55769230769
"83",395,2018.57692307692
"84",406,2018.59615384615
"85",265,2018.61538461538
"86",249,2018.63461538462
"87",348,2018.65384615385
"88",204,2018.67307692308
"89",277,2018.69230769231
"90",591,2018.71153846154
"91",209,2018.73076923077
"92",266,2018.75
"93",502,2018.76923076923
"94",387,2018.78846153846
"95",272,2018.80769230769
"96",152,2018.82692307692
"97",295,2018.84615384615
"98",309,2018.86538461538
"99",222,2018.88461538462
"100",369,2018.90384615385
"101",261,2018.92307692308
"102",300,2018.94230769231
"103",335,2018.96153846154
"104",172,2018.98076923077
"105",25,2019
"106",57,2019.01923076923
"107",110,2019.03846153846
"108",255,2019.05769230769
"109",812,2019.07692307692
"110",23,2019.09615384615
"111",611,2019.11538461538
"112",0,2019.13461538462
"113",1004,2019.15384615385
"114",0,2019.17307692308
"115",307,2019.19230769231
"116",263,2019.21153846154
"117",627,2019.23076923077
"118",376,2019.25
"119",560,2019.26923076923
"120",372,2019.28846153846
"121",321,2019.30769230769
"122",379,2019.32692307692
"123",499,2019.34615384615
"124",268,2019.36538461538
"125",378,2019.38461538462
"126",169,2019.40384615385
"127",490,2019.42307692308
"128",263,2019.44230769231
"129",224,2019.46153846154
"130",618,2019.48076923077
"131",405,2019.5
"132",188,2019.51923076923
"133",628,2019.53846153846
"134",277,2019.55769230769
"135",453,2019.57692307692
"136",473,2019.59615384615
"137",460,2019.61538461538
"138",396,2019.63461538462
"139",420,2019.65384615385
"140",338,2019.67307692308
"141",335,2019.69230769231
"142",333,2019.71153846154
"143",258,2019.73076923077
"144",233,2019.75
"145",338,2019.76923076923
"146",191,2019.78846153846
"147",138,2019.80769230769
"148",267,2019.82692307692
"149",319,2019.84615384615
"150",226,2019.86538461538
"151",320,2019.88461538462
"152",189,2019.90384615385
"153",247,2019.92307692308
"154",20,2019.94230769231
"155",350,2019.96153846154
"156",88,2019.98076923077
"157",130,2020
"158",376,2020.01923076923
"159",174,2020.03846153846
"160",383,2020.05769230769
"161",196,2020.07692307692
"162",23,2020.09615384615
"163",611,2020.11538461538
"164",320,2020.13461538462
"165",176,2020.15384615385
"166",585,2020.17307692308
"167",71,2020.19230769231
"168",78,2020.21153846154
"169",215,2020.23076923077
"170",78,2020.25
"171",115,2020.26923076923
"172",62,2020.28846153846
"173",183,2020.30769230769
"174",118,2020.32692307692
"175",62,2020.34615384615
"176",189,2020.36538461538
"177",137,2020.38461538462
"178",78,2020.40384615385
"179",98,2020.42307692308
"180",78,2020.44230769231
"181",116,2020.46153846154
"182",78,2020.48076923077
"183",71,2020.5
"184",215,2020.51923076923
"185",78,2020.53846153846
"186",183,2020.55769230769
"187",180,2020.57692307692
"188",62,2020.59615384615
"189",118,2020.61538461538
"190",115,2020.63461538462
"191",83,2020.65384615385
"192",99,2020.67307692308
"193",92,2020.69230769231
"194",4,2020.71153846154
"195",137,2020.73076923077
"196",78,2020.75
"197",189,2020.76923076923
"198",98,2020.78846153846
"199",122,2020.80769230769
"200",140,2020.82692307692
"201",143,2020.84615384615
"202",116,2020.86538461538
"203",160,2020.88461538462
"204",89,2020.90384615385
"205",91,2020.92307692308
"206",6,2020.94230769231
"207",83,2020.96153846154
"208",153,2020.98076923077
"209",23,2021
"210",98,2021.01923076923
"211",92,2021.03846153846
"212",99,2021.05769230769
"213",109,2021.07692307692
"214",4,2021.09615384615
"215",184,2021.11538461538
"216",96,2021.13461538462
"217",117,2021.15384615385
"218",68,2021.17307692308
"219",136,2021.19230769231
"220",122,2021.21153846154
"221",143,2021.23076923077
"222",140,2021.25
"223",93,2021.26923076923
"224",83,2021.28846153846
"225",101,2021.30769230769
"226",129,2021.32692307692
"227",150,2021.34615384615
"228",416,2021.36538461538
"229",153,2021.38461538462
"230",91,2021.40384615385
"231",135,2021.42307692308
"232",168,2021.44230769231
"233",166,2021.46153846154
"234",244,2021.48076923077
"235",64,2021.5
"236",99,2021.51923076923
"237",112,2021.53846153846
"238",95,2021.55769230769
"239",120,2021.57692307692
"240",69,2021.59615384615
"241",68,2021.61538461538
"242",112,2021.63461538462
"243",77,2021.65384615385
"244",39,2021.67307692308
"245",27,2021.69230769231
"246",50,2021.71153846154
"247",85,2021.73076923077
"248",98,2021.75
"249",91,2021.76923076923
"250",89,2021.78846153846
"251",87,2021.80769230769
"252",93,2021.82692307692
"253",101,2021.84615384615
"254",115,2021.86538461538
"255",71,2021.88461538462
"256",107,2021.90384615385
"257",94,2021.92307692308
"258",49,2021.94230769231
"259",99,2021.96153846154
"260",152,2021.98076923077
