"","Cases","Year"
"1",0,2017
"2",0,2017.01923076923
"3",0,2017.03846153846
"4",0,2017.05769230769
"5",0,2017.07692307692
"6",0,2017.09615384615
"7",5,2017.11538461538
"8",0,2017.13461538462
"9",7,2017.15384615385
"10",0,2017.17307692308
"11",0,2017.19230769231
"12",1,2017.21153846154
"13",0,2017.23076923077
"14",0,2017.25
"15",0,2017.26923076923
"16",0,2017.28846153846
"17",0,2017.30769230769
"18",0,2017.32692307692
"19",1,2017.34615384615
"20",0,2017.36538461538
"21",0,2017.38461538462
"22",14,2017.40384615385
"23",23,2017.42307692308
"24",3,2017.44230769231
"25",1,2017.46153846154
"26",3,2017.48076923077
"27",21,2017.5
"28",0,2017.51923076923
"29",3,2017.53846153846
"30",13,2017.55769230769
"31",4,2017.57692307692
"32",7,2017.59615384615
"33",0,2017.61538461538
"34",5,2017.63461538462
"35",7,2017.65384615385
"36",1,2017.67307692308
"37",1,2017.69230769231
"38",0,2017.71153846154
"39",0,2017.73076923077
"40",3,2017.75
"41",0,2017.76923076923
"42",0,2017.78846153846
"43",0,2017.80769230769
"44",0,2017.82692307692
"45",1,2017.84615384615
"46",0,2017.86538461538
"47",0,2017.88461538462
"48",6,2017.90384615385
"49",1,2017.92307692308
"50",1,2017.94230769231
"51",0,2017.96153846154
"52",0,2017.98076923077
"53",0,2018
"54",0,2018.01923076923
"55",0,2018.03846153846
"56",0,2018.05769230769
"57",1,2018.07692307692
"58",1,2018.09615384615
"59",0,2018.11538461538
"60",1,2018.13461538462
"61",0,2018.15384615385
"62",1,2018.17307692308
"63",3,2018.19230769231
"64",0,2018.21153846154
"65",0,2018.23076923077
"66",0,2018.25
"67",0,2018.26923076923
"68",0,2018.28846153846
"69",0,2018.30769230769
"70",1,2018.32692307692
"71",0,2018.34615384615
"72",24,2018.36538461538
"73",0,2018.38461538462
"74",67,2018.40384615385
"75",67,2018.42307692308
"76",22,2018.44230769231
"77",34,2018.46153846154
"78",0,2018.48076923077
"79",0,2018.5
"80",48,2018.51923076923
"81",70,2018.53846153846
"82",53,2018.55769230769
"83",37,2018.57692307692
"84",41,2018.59615384615
"85",23,2018.61538461538
"86",14,2018.63461538462
"87",16,2018.65384615385
"88",14,2018.67307692308
"89",7,2018.69230769231
"90",139,2018.71153846154
"91",32,2018.73076923077
"92",19,2018.75
"93",18,2018.76923076923
"94",112,2018.78846153846
"95",28,2018.80769230769
"96",67,2018.82692307692
"97",57,2018.84615384615
"98",47,2018.86538461538
"99",5,2018.88461538462
"100",34,2018.90384615385
"101",43,2018.92307692308
"102",81,2018.94230769231
"103",79,2018.96153846154
"104",23,2018.98076923077
"105",5,2019
"106",5,2019.01923076923
"107",51,2019.03846153846
"108",80,2019.05769230769
"109",159,2019.07692307692
"110",14,2019.09615384615
"111",85,2019.11538461538
"112",207,2019.13461538462
"113",0,2019.15384615385
"114",704,2019.17307692308
"115",253,2019.19230769231
"116",118,2019.21153846154
"117",120,2019.23076923077
"118",276,2019.25
"119",113,2019.26923076923
"120",132,2019.28846153846
"121",171,2019.30769230769
"122",76,2019.32692307692
"123",94,2019.34615384615
"124",133,2019.36538461538
"125",188,2019.38461538462
"126",57,2019.40384615385
"127",172,2019.42307692308
"128",136,2019.44230769231
"129",89,2019.46153846154
"130",87,2019.48076923077
"131",131,2019.5
"132",64,2019.51923076923
"133",382,2019.53846153846
"134",432,2019.55769230769
"135",0,2019.57692307692
"136",79,2019.59615384615
"137",95,2019.61538461538
"138",48,2019.63461538462
"139",114,2019.65384615385
"140",41,2019.67307692308
"141",48,2019.69230769231
"142",144,2019.71153846154
"143",57,2019.73076923077
"144",83,2019.75
"145",80,2019.76923076923
"146",102,2019.78846153846
"147",55,2019.80769230769
"148",16,2019.82692307692
"149",110,2019.84615384615
"150",0,2019.86538461538
"151",96,2019.88461538462
"152",42,2019.90384615385
"153",59,2019.92307692308
"154",1,2019.94230769231
"155",94,2019.96153846154
"156",38,2019.98076923077
"157",17,2020
"158",53,2020.01923076923
"159",83,2020.03846153846
"160",70,2020.05769230769
"161",77,2020.07692307692
"162",14,2020.09615384615
"163",85,2020.11538461538
"164",61,2020.13461538462
"165",18,2020.15384615385
"166",93,2020.17307692308
"167",112,2020.19230769231
"168",28,2020.21153846154
"169",18,2020.23076923077
"170",112,2020.25
"171",112,2020.26923076923
"172",67,2020.28846153846
"173",28,2020.30769230769
"174",57,2020.32692307692
"175",67,2020.34615384615
"176",57,2020.36538461538
"177",5,2020.38461538462
"178",5,2020.40384615385
"179",5,2020.42307692308
"180",81,2020.44230769231
"181",79,2020.46153846154
"182",23,2020.48076923077
"183",30,2020.5
"184",25,2020.51923076923
"185",37,2020.53846153846
"186",35,2020.55769230769
"187",37,2020.57692307692
"188",12,2020.59615384615
"189",33,2020.61538461538
"190",19,2020.63461538462
"191",159,2020.65384615385
"192",5,2020.67307692308
"193",159,2020.69230769231
"194",159,2020.71153846154
"195",23,2020.73076923077
"196",41,2020.75
"197",37,2020.76923076923
"198",10,2020.78846153846
"199",207,2020.80769230769
"200",159,2020.82692307692
"201",207,2020.84615384615
"202",16,2020.86538461538
"203",25,2020.88461538462
"204",19,2020.90384615385
"205",19,2020.92307692308
"206",8,2020.94230769231
"207",11,2020.96153846154
"208",118,2020.98076923077
"209",13,2021
"210",18,2021.01923076923
"211",3,2021.03846153846
"212",11,2021.05769230769
"213",6,2021.07692307692
"214",4,2021.09615384615
"215",47,2021.11538461538
"216",12,2021.13461538462
"217",28,2021.15384615385
"218",17,2021.17307692308
"219",25,2021.19230769231
"220",29,2021.21153846154
"221",25,2021.23076923077
"222",35,2021.25
"223",10,2021.26923076923
"224",12,2021.28846153846
"225",15,2021.30769230769
"226",15,2021.32692307692
"227",33,2021.34615384615
"228",12,2021.36538461538
"229",17,2021.38461538462
"230",37,2021.40384615385
"231",24,2021.42307692308
"232",27,2021.44230769231
"233",50,2021.46153846154
"234",57,2021.48076923077
"235",9,2021.5
"236",36,2021.51923076923
"237",22,2021.53846153846
"238",71,2021.55769230769
"239",21,2021.57692307692
"240",35,2021.59615384615
"241",34,2021.61538461538
"242",32,2021.63461538462
"243",21,2021.65384615385
"244",21,2021.67307692308
"245",38,2021.69230769231
"246",14,2021.71153846154
"247",17,2021.73076923077
"248",15,2021.75
"249",44,2021.76923076923
"250",16,2021.78846153846
