"","Cases","Year"
"1",2450,2017
"2",2288,2017.01923076923
"3",1955,2017.03846153846
"4",1970,2017.05769230769
"5",1723,2017.07692307692
"6",1611,2017.09615384615
"7",1317,2017.11538461538
"8",1194,2017.13461538462
"9",745,2017.15384615385
"10",158,2017.17307692308
"11",2579,2017.19230769231
"12",130,2017.21153846154
"13",913,2017.23076923077
"14",1581,2017.25
"15",820,2017.26923076923
"16",1075,2017.28846153846
"17",1017,2017.30769230769
"18",1273,2017.32692307692
"19",1593,2017.34615384615
"20",87,2017.36538461538
"21",1676,2017.38461538462
"22",112,2017.40384615385
"23",1768,2017.42307692308
"24",850,2017.44230769231
"25",254,2017.46153846154
"26",1365,2017.48076923077
"27",3566,2017.5
"28",183,2017.51923076923
"29",5713,2017.53846153846
"30",1396,2017.55769230769
"31",278,2017.57692307692
"32",6749,2017.59615384615
"33",535,2017.61538461538
"34",5450,2017.63461538462
"35",282,2017.65384615385
"36",7595,2017.67307692308
"37",273,2017.69230769231
"38",6988,2017.71153846154
"39",342,2017.73076923077
"40",10049,2017.75
"41",976,2017.76923076923
"42",224,2017.78846153846
"43",3919,2017.80769230769
"44",232,2017.82692307692
"45",6672,2017.84615384615
"46",1507,2017.86538461538
"47",864,2017.88461538462
"48",220,2017.90384615385
"49",7194,2017.92307692308
"50",1512,2017.94230769231
"51",753,2017.96153846154
"52",1970,2017.98076923077
"53",1294,2018
"54",1320,2018.01923076923
"55",1084,2018.03846153846
"56",292,2018.05769230769
"57",1421,2018.07692307692
"58",1531,2018.09615384615
"59",2035,2018.11538461538
"60",1278,2018.13461538462
"61",1650,2018.15384615385
"62",2450,2018.17307692308
"63",2288,2018.19230769231
"64",1955,2018.21153846154
"65",1723,2018.23076923077
"66",1955,2018.25
"67",1955,2018.26923076923
"68",1723,2018.28846153846
"69",1955,2018.30769230769
"70",1723,2018.32692307692
"71",2450,2018.34615384615
"72",1538,2018.36538461538
"73",1428,2018.38461538462
"74",1619,2018.40384615385
"75",2136,2018.42307692308
"76",2495,2018.44230769231
"77",2720,2018.46153846154
"78",1955,2018.48076923077
"79",1723,2018.5
"80",5062,2018.51923076923
"81",4531,2018.53846153846
"82",6456,2018.55769230769
"83",6209,2018.57692307692
"84",5790,2018.59615384615
"85",7288,2018.61538461538
"86",5303,2018.63461538462
"87",6547,2018.65384615385
"88",6161,2018.67307692308
"89",10439,2018.69230769231
"90",5309,2018.71153846154
"91",9120,2018.73076923077
"92",7190,2018.75
"93",6154,2018.76923076923
"94",7191,2018.78846153846
"95",7161,2018.80769230769
"96",4579,2018.82692307692
"97",7765,2018.84615384615
"98",8246,2018.86538461538
"99",6779,2018.88461538462
"100",6132,2018.90384615385
"101",6820,2018.92307692308
"102",6253,2018.94230769231
"103",6047,2018.96153846154
"104",4619,2018.98076923077
"105",497,2019
"106",2428,2019.01923076923
"107",4153,2019.03846153846
"108",5353,2019.05769230769
"109",7343,2019.07692307692
"110",5728,2019.09615384615
"111",3667,2019.11538461538
"112",7495,2019.13461538462
"113",394,2019.15384615385
"114",7508,2019.17307692308
"115",4068,2019.19230769231
"116",3961,2019.21153846154
"117",3381,2019.23076923077
"118",3163,2019.25
"119",5556,2019.26923076923
"120",2321,2019.28846153846
"121",2466,2019.30769230769
"122",2594,2019.32692307692
"123",2197,2019.34615384615
"124",2767,2019.36538461538
"125",2901,2019.38461538462
"126",3629,2019.40384615385
"127",3920,2019.42307692308
"128",4777,2019.44230769231
"129",5912,2019.46153846154
"130",8451,2019.48076923077
"131",9356,2019.5
"132",14477,2019.51923076923
"133",15599,2019.53846153846
"134",21545,2019.55769230769
"135",20955,2019.57692307692
"136",20355,2019.59615384615
