"","Cases","Year"
"1",1464,2017
"2",1465,2017.01923076923
"3",1100,2017.03846153846
"4",500,2017.05769230769
"5",390,2017.07692307692
"6",482,2017.09615384615
"7",822,2017.11538461538
"8",354,2017.13461538462
"9",1827,2017.15384615385
"10",1282,2017.17307692308
"11",1154,2017.19230769231
"12",323,2017.21153846154
"13",2801,2017.23076923077
"14",554,2017.25
"15",92,2017.26923076923
"16",421,2017.28846153846
"17",231,2017.30769230769
"18",1724,2017.32692307692
"19",3831,2017.34615384615
"20",294,2017.36538461538
"21",1607,2017.38461538462
"22",313,2017.40384615385
"23",4488,2017.42307692308
"24",953,2017.44230769231
"25",419,2017.46153846154
"26",2072,2017.48076923077
"27",392,2017.5
"28",2125,2017.51923076923
"29",2310,2017.53846153846
"30",14432,2017.55769230769
"31",3195,2017.57692307692
"32",4304,2017.59615384615
"33",530,2017.61538461538
"34",2745,2017.63461538462
"35",2719,2017.65384615385
"36",4982,2017.67307692308
"37",444,2017.69230769231
"38",4834,2017.71153846154
"39",332,2017.73076923077
"40",3571,2017.75
"41",16604,2017.76923076923
"42",1239,2017.78846153846
"43",469,2017.80769230769
"44",11499,2017.82692307692
"45",2359,2017.84615384615
"46",1880,2017.86538461538
"47",1446,2017.88461538462
"48",368,2017.90384615385
"49",9879,2017.92307692308
"50",1825,2017.94230769231
"51",1217,2017.96153846154
"52",2893,2017.98076923077
"53",2265,2018
"54",2609,2018.01923076923
"55",2283,2018.03846153846
"56",1599,2018.05769230769
"57",388,2018.07692307692
"58",2741,2018.09615384615
"59",7711,2018.11538461538
"60",1501,2018.13461538462
"61",465,2018.15384615385
"62",2233,2018.17307692308
"63",2196,2018.19230769231
"64",2893,2018.21153846154
"65",2893,2018.23076923077
"66",2233,2018.25
"67",957,2018.26923076923
"68",2233,2018.28846153846
"69",957,2018.30769230769
"70",2196,2018.32692307692
"71",195,2018.34615384615
"72",959,2018.36538461538
"73",2265,2018.38461538462
"74",1309,2018.40384615385
