"","Cases","Year"
"1",4,2017
"2",13,2017.01923076923
"3",18,2017.03846153846
"4",32,2017.05769230769
"5",56,2017.07692307692
"6",85,2017.09615384615
"7",8,2017.11538461538
"8",0,2017.13461538462
"9",85,2017.15384615385
"10",24,2017.17307692308
"11",12,2017.19230769231
"12",0,2017.21153846154
"13",15,2017.23076923077
"14",57,2017.25
"15",1,2017.26923076923
"16",21,2017.28846153846
"17",32,2017.30769230769
"18",40,2017.32692307692
"19",13,2017.34615384615
"20",21,2017.36538461538
"21",21,2017.38461538462
"22",23,2017.40384615385
"23",18,2017.42307692308
"24",35,2017.44230769231
"25",48,2017.46153846154
"26",40,2017.48076923077
"27",2,2017.5
"28",33,2017.51923076923
"29",36,2017.53846153846
"30",72,2017.55769230769
"31",45,2017.57692307692
"32",77,2017.59615384615
"33",81,2017.61538461538
"34",83,2017.63461538462
"35",43,2017.65384615385
"36",122,2017.67307692308
"37",7,2017.69230769231
"38",88,2017.71153846154
"39",104,2017.73076923077
"40",201,2017.75
"41",12,2017.76923076923
"42",123,2017.78846153846
"43",121,2017.80769230769
"44",133,2017.82692307692
"45",261,2017.84615384615
"46",51,2017.86538461538
"47",7,2017.88461538462
"48",71,2017.90384615385
"49",421,2017.92307692308
"50",30,2017.94230769231
"51",21,2017.96153846154
"52",41,2017.98076923077
"53",94,2018
"54",42,2018.01923076923
"55",1,2018.03846153846
"56",106,2018.05769230769
"57",40,2018.07692307692
"58",41,2018.09615384615
"59",57,2018.11538461538
"60",72,2018.13461538462
"61",41,2018.15384615385
"62",45,2018.17307692308
"63",54,2018.19230769231
"64",54,2018.21153846154
"65",238,2018.23076923077
"66",238,2018.25
"67",94,2018.26923076923
"68",260,2018.28846153846
"69",763,2018.30769230769
"70",15,2018.32692307692
"71",314,2018.34615384615
"72",69,2018.36538461538
"73",2,2018.38461538462
"74",27,2018.40384615385
"75",49,2018.42307692308
"76",10,2018.44230769231
"77",45,2018.46153846154
"78",83,2018.48076923077
"79",53,2018.5
"80",241,2018.51923076923
"81",207,2018.53846153846
"82",54,2018.55769230769
"83",207,2018.57692307692
"84",399,2018.59615384615
"85",238,2018.61538461538
"86",94,2018.63461538462
"87",260,2018.65384615385
"88",12,2018.67307692308
"89",140,2018.69230769231
"90",763,2018.71153846154
"91",22,2018.73076923077
"92",314,2018.75
"93",15,2018.76923076923
"94",198,2018.78846153846
"95",7,2018.80769230769
"96",154,2018.82692307692
"97",10,2018.84615384615
"98",117,2018.86538461538
"99",4,2018.88461538462
"100",103,2018.90384615385
"101",9,2018.92307692308
"102",83,2018.94230769231
"103",8,2018.96153846154
"104",53,2018.98076923077
"105",33,2019
"106",44,2019.01923076923
"107",11,2019.03846153846
"108",22,2019.05769230769
"109",83,2019.07692307692
"110",1,2019.09615384615
"111",55,2019.11538461538
"112",15,2019.13461538462
"113",29,2019.15384615385
"114",0,2019.17307692308
"115",25,2019.19230769231
"116",23,2019.21153846154
"117",19,2019.23076923077
"118",12,2019.25
"119",17,2019.26923076923
"120",14,2019.28846153846
"121",9,2019.30769230769
"122",20,2019.32692307692
"123",21,2019.34615384615
"124",13,2019.36538461538
"125",19,2019.38461538462
"126",36,2019.40384615385
"127",34,2019.42307692308
"128",34,2019.44230769231
"129",28,2019.46153846154
"130",39,2019.48076923077
"131",38,2019.5
"132",63,2019.51923076923
"133",102,2019.53846153846
"134",63,2019.55769230769
"135",65,2019.57692307692
"136",89,2019.59615384615
"137",111,2019.61538461538
"138",184,2019.63461538462
"139",229,2019.65384615385
"140",159,2019.67307692308
"141",146,2019.69230769231
"142",125,2019.71153846154
"143",107,2019.73076923077
"144",203,2019.75
"145",165,2019.76923076923
"146",113,2019.78846153846
"147",84,2019.80769230769
"148",32,2019.82692307692
"149",112,2019.84615384615
"150",54,2019.86538461538
"151",52,2019.88461538462
"152",65,2019.90384615385
"153",68,2019.92307692308
"154",56,2019.94230769231
"155",99,2019.96153846154
"156",38,2019.98076923077
"157",1,2020
"158",20,2020.01923076923
"159",46,2020.03846153846
"160",60,2020.05769230769
"161",66,2020.07692307692
"162",1,2020.09615384615
"163",55,2020.11538461538
"164",25,2020.13461538462
"165",19,2020.15384615385
"166",26,2020.17307692308
"167",9,2020.19230769231
"168",6,2020.21153846154
"169",20,2020.23076923077
"170",6,2020.25
"171",1,2020.26923076923
"172",22,2020.28846153846
"173",22,2020.30769230769
"174",87,2020.32692307692
