"","Cases","Year"
"1",0,2017
"2",1,2017.01923076923
"3",0,2017.03846153846
"4",0,2017.05769230769
"5",2,2017.07692307692
"6",2,2017.09615384615
"7",3,2017.11538461538
"8",0,2017.13461538462
"9",1,2017.15384615385
"10",4,2017.17307692308
"11",0,2017.19230769231
"12",0,2017.21153846154
"13",2,2017.23076923077
"14",0,2017.25
"15",0,2017.26923076923
"16",2,2017.28846153846
"17",0,2017.30769230769
"18",1,2017.32692307692
"19",1,2017.34615384615
"20",2,2017.36538461538
"21",2,2017.38461538462
"22",0,2017.40384615385
"23",0,2017.42307692308
"24",3,2017.44230769231
"25",1,2017.46153846154
"26",1,2017.48076923077
"27",3,2017.5
"28",1,2017.51923076923
"29",0,2017.53846153846
"30",0,2017.55769230769
"31",0,2017.57692307692
"32",11,2017.59615384615
"33",0,2017.61538461538
"34",4,2017.63461538462
"35",9,2017.65384615385
"36",26,2017.67307692308
"37",1,2017.69230769231
"38",44,2017.71153846154
"39",0,2017.73076923077
"40",56,2017.75
"41",0,2017.76923076923
"42",58,2017.78846153846
"43",2,2017.80769230769
"44",0,2017.82692307692
"45",4,2017.84615384615
"46",5,2017.86538461538
"47",0,2017.88461538462
"48",3,2017.90384615385
"49",15,2017.92307692308
"50",1,2017.94230769231
"51",0,2017.96153846154
"52",3,2017.98076923077
"53",62,2018
"54",57,2018.01923076923
"55",39,2018.03846153846
"56",33,2018.05769230769
"57",26,2018.07692307692
"58",5,2018.09615384615
"59",3,2018.11538461538
"60",0,2018.13461538462
"61",215,2018.15384615385
"62",6,2018.17307692308
"63",3,2018.19230769231
"64",7,2018.21153846154
"65",5,2018.23076923077
"66",3,2018.25
"67",7,2018.26923076923
"68",5,2018.28846153846
"69",6,2018.30769230769
"70",0,2018.32692307692
"71",0,2018.34615384615
"72",0,2018.36538461538
"73",162,2018.38461538462
"74",9,2018.40384615385
"75",55,2018.42307692308
"76",224,2018.44230769231
"77",18,2018.46153846154
"78",7,2018.48076923077
"79",3,2018.5
"80",51,2018.51923076923
"81",29,2018.53846153846
"82",72,2018.55769230769
"83",96,2018.57692307692
"84",94,2018.59615384615
"85",29,2018.61538461538
"86",26,2018.63461538462
"87",52,2018.65384615385
"88",59,2018.67307692308
"89",128,2018.69230769231
"90",75,2018.71153846154
"91",123,2018.73076923077
"92",68,2018.75
"93",62,2018.76923076923
"94",68,2018.78846153846
"95",85,2018.80769230769
"96",251,2018.82692307692
"97",300,2018.84615384615
"98",184,2018.86538461538
"99",619,2018.88461538462
"100",149,2018.90384615385
"101",34,2018.92307692308
"102",132,2018.94230769231
"103",12,2018.96153846154
"104",381,2018.98076923077
"105",5,2019
"106",5,2019.01923076923
"107",7,2019.03846153846
"108",105,2019.05769230769
"109",1084,2019.07692307692
"110",244,2019.09615384615
"111",325,2019.11538461538
"112",0,2019.13461538462
"113",1227,2019.15384615385
"114",3,2019.17307692308
"115",3710,2019.19230769231
"116",2917,2019.21153846154
