"","Cases","Year"
"1",2,2017
"2",1,2017.01923076923
"3",0,2017.03846153846
"4",4,2017.05769230769
"5",7,2017.07692307692
"6",0,2017.09615384615
"7",9,2017.11538461538
"8",4,2017.13461538462
"9",1,2017.15384615385
"10",2,2017.17307692308
"11",0,2017.19230769231
"12",1,2017.21153846154
"13",9,2017.23076923077
"14",5,2017.25
"15",3,2017.26923076923
"16",0,2017.28846153846
"17",4,2017.30769230769
"18",7,2017.32692307692
"19",3,2017.34615384615
"20",3,2017.36538461538
"21",0,2017.38461538462
"22",12,2017.40384615385
"23",2,2017.42307692308
"24",0,2017.44230769231
"25",6,2017.46153846154
"26",7,2017.48076923077
"27",1,2017.5
"28",5,2017.51923076923
"29",4,2017.53846153846
"30",7,2017.55769230769
"31",4,2017.57692307692
"32",3,2017.59615384615
"33",9,2017.61538461538
"34",3,2017.63461538462
"35",2,2017.65384615385
"36",9,2017.67307692308
"37",2,2017.69230769231
"38",9,2017.71153846154
"39",1,2017.73076923077
"40",15,2017.75
"41",0,2017.76923076923
"42",10,2017.78846153846
"43",7,2017.80769230769
"44",5,2017.82692307692
"45",2,2017.84615384615
"46",2,2017.86538461538
"47",2,2017.88461538462
"48",3,2017.90384615385
"49",4,2017.92307692308
"50",3,2017.94230769231
"51",3,2017.96153846154
"52",0,2017.98076923077
"53",1,2018
"54",7,2018.01923076923
"55",4,2018.03846153846
"56",5,2018.05769230769
"57",1,2018.07692307692
"58",1,2018.09615384615
"59",2,2018.11538461538
"60",6,2018.13461538462
"61",2,2018.15384615385
"62",0,2018.17307692308
"63",0,2018.19230769231
"64",0,2018.21153846154
"65",0,2018.23076923077
"66",0,2018.25
"67",4,2018.26923076923
"68",1,2018.28846153846
"69",1,2018.30769230769
"70",7,2018.32692307692
"71",0,2018.34615384615
"72",6,2018.36538461538
"73",3,2018.38461538462
"74",10,2018.40384615385
"75",7,2018.42307692308
"76",3,2018.44230769231
"77",6,2018.46153846154
"78",2,2018.48076923077
"79",1,2018.5
"80",4,2018.51923076923
"81",1,2018.53846153846
"82",9,2018.55769230769
"83",0,2018.57692307692
"84",7,2018.59615384615
"85",8,2018.61538461538
"86",2,2018.63461538462
"87",3,2018.65384615385
"88",3,2018.67307692308
"89",4,2018.69230769231
"90",13,2018.71153846154
"91",0,2018.73076923077
"92",2,2018.75
"93",5,2018.76923076923
"94",5,2018.78846153846
"95",6,2018.80769230769
"96",0,2018.82692307692
"97",3,2018.84615384615
"98",4,2018.86538461538
"99",5,2018.88461538462
"100",6,2018.90384615385
"101",8,2018.92307692308
"102",4,2018.94230769231
"103",4,2018.96153846154
"104",4,2018.98076923077
"105",0,2019
"106",4,2019.01923076923
"107",8,2019.03846153846
"108",7,2019.05769230769
"109",0,2019.07692307692
"110",6,2019.09615384615
"111",3,2019.11538461538
"112",20,2019.13461538462
"113",0,2019.15384615385
"114",28,2019.17307692308
"115",4,2019.19230769231
"116",5,2019.21153846154
"117",3,2019.23076923077
"118",3,2019.25
"119",5,2019.26923076923
"120",7,2019.28846153846
"121",6,2019.30769230769
"122",9,2019.32692307692
"123",1,2019.34615384615
"124",4,2019.36538461538
"125",5,2019.38461538462
"126",3,2019.40384615385
"127",3,2019.42307692308
"128",1,2019.44230769231
"129",1,2019.46153846154
"130",11,2019.48076923077
"131",8,2019.5
"132",6,2019.51923076923
"133",0,2019.53846153846
"134",3,2019.55769230769
"135",2,2019.57692307692
"136",3,2019.59615384615
"137",3,2019.61538461538
"138",4,2019.63461538462
"139",10,2019.65384615385
"140",4,2019.67307692308
"141",5,2019.69230769231
"142",1,2019.71153846154
"143",5,2019.73076923077
"144",17,2019.75
"145",6,2019.76923076923
"146",7,2019.78846153846
"147",5,2019.80769230769
"148",3,2019.82692307692
"149",8,2019.84615384615
"150",13,2019.86538461538
"151",5,2019.88461538462
"152",8,2019.90384615385
"153",5,2019.92307692308
"154",3,2019.94230769231
"155",3,2019.96153846154
"156",8,2019.98076923077
"157",0,2020
"158",2,2020.01923076923
"159",4,2020.03846153846
"160",0,2020.05769230769
"161",5,2020.07692307692
"162",6,2020.09615384615
"163",3,2020.11538461538
"164",0,2020.13461538462
"165",1,2020.15384615385
"166",2,2020.17307692308
"167",2,2020.19230769231
"168",1,2020.21153846154
"169",4,2020.23076923077
"170",4,2020.25
"171",7,2020.26923076923
"172",1,2020.28846153846
"173",7,2020.30769230769
"174",1,2020.32692307692
"175",7,2020.34615384615
"176",4,2020.36538461538
"177",2,2020.38461538462
"178",1,2020.40384615385
"179",0,2020.42307692308
"180",0,2020.44230769231
"181",4,2020.46153846154
"182",7,2020.48076923077
"183",2,2020.5
"184",1,2020.51923076923
"185",4,2020.53846153846
"186",2,2020.55769230769
"187",2,2020.57692307692
"188",2,2020.59615384615
"189",1,2020.61538461538
"190",5,2020.63461538462
"191",7,2020.65384615385
"192",0,2020.67307692308
"193",0,2020.69230769231
"194",1,2020.71153846154
"195",3,2020.73076923077
"196",1,2020.75
"197",1,2020.76923076923
"198",4,2020.78846153846
"199",0,2020.80769230769
"200",7,2020.82692307692
"201",2,2020.84615384615
"202",1,2020.86538461538
"203",3,2020.88461538462
"204",0,2020.90384615385
"205",1,2020.92307692308
"206",2,2020.94230769231
"207",3,2020.96153846154
"208",2,2020.98076923077
"209",0,2021
"210",0,2021.01923076923
"211",8,2021.03846153846
"212",0,2021.05769230769
"213",2,2021.07692307692
"214",0,2021.09615384615
"215",2,2021.11538461538
"216",332,2021.13461538462
"217",0,2021.15384615385
"218",4,2021.17307692308
"219",2,2021.19230769231
"220",0,2021.21153846154
"221",5,2021.23076923077
"222",1,2021.25
"223",1,2021.26923076923
"224",0,2021.28846153846
"225",0,2021.30769230769
"226",5,2021.32692307692
"227",1,2021.34615384615
"228",0,2021.36538461538
"229",0,2021.38461538462
"230",3,2021.40384615385
"231",4,2021.42307692308
"232",2,2021.44230769231
"233",7,2021.46153846154
"234",3,2021.48076923077
"235",1,2021.5
"236",1,2021.51923076923
"237",7,2021.53846153846
"238",0,2021.55769230769
"239",2,2021.57692307692
"240",0,2021.59615384615
"241",2,2021.61538461538
"242",2,2021.63461538462
"243",1,2021.65384615385
"244",2,2021.67307692308
"245",1,2021.69230769231
"246",2,2021.71153846154
"247",2,2021.73076923077
"248",1,2021.75
"249",3,2021.76923076923
"250",3,2021.78846153846
"251",3,2021.80769230769
"252",6,2021.82692307692
"253",1,2021.84615384615
"254",0,2021.86538461538
"255",2,2021.88461538462
"256",3,2021.90384615385
"257",2,2021.92307692308
"258",3,2021.94230769231
"259",2,2021.96153846154
"260",1,2021.98076923077
