"","Cases","Year"
"1",1,2017
"2",9,2017.01923076923
"3",13,2017.03846153846
"4",13,2017.05769230769
"5",23,2017.07692307692
"6",22,2017.09615384615
"7",13,2017.11538461538
"8",19,2017.13461538462
"9",18,2017.15384615385
"10",22,2017.17307692308
"11",17,2017.19230769231
"12",23,2017.21153846154
"13",14,2017.23076923077
"14",27,2017.25
"15",12,2017.26923076923
"16",15,2017.28846153846
"17",20,2017.30769230769
"18",25,2017.32692307692
"19",23,2017.34615384615
"20",16,2017.36538461538
"21",19,2017.38461538462
"22",20,2017.40384615385
"23",18,2017.42307692308
"24",28,2017.44230769231
"25",24,2017.46153846154
"26",15,2017.48076923077
"27",19,2017.5
"28",13,2017.51923076923
"29",20,2017.53846153846
"30",15,2017.55769230769
"31",35,2017.57692307692
"32",13,2017.59615384615
"33",1,2017.61538461538
"34",13,2017.63461538462
"35",8,2017.65384615385
"36",34,2017.67307692308
"37",23,2017.69230769231
"38",17,2017.71153846154
"39",38,2017.73076923077
"40",12,2017.75
"41",62,2017.76923076923
"42",1,2017.78846153846
"43",27,2017.80769230769
"44",2,2017.82692307692
"45",50,2017.84615384615
"46",5,2017.86538461538
"47",7,2017.88461538462
"48",5,2017.90384615385
"49",40,2017.92307692308
"50",8,2017.94230769231
"51",1,2017.96153846154
"52",19,2017.98076923077
"53",0,2018
"54",8,2018.01923076923
"55",4,2018.03846153846
"56",18,2018.05769230769
"57",12,2018.07692307692
"58",13,2018.09615384615
"59",11,2018.11538461538
"60",19,2018.13461538462
"61",18,2018.15384615385
"62",19,2018.17307692308
"63",9,2018.19230769231
"64",19,2018.21153846154
"65",13,2018.23076923077
"66",13,2018.25
"67",13,2018.26923076923
"68",18,2018.28846153846
"69",18,2018.30769230769
"70",17,2018.32692307692
"71",11,2018.34615384615
"72",9,2018.36538461538
"73",14,2018.38461538462
"74",12,2018.40384615385
"75",19,2018.42307692308
"76",13,2018.44230769231
"77",34,2018.46153846154
"78",19,2018.48076923077
"79",19,2018.5
"80",22,2018.51923076923
"81",18,2018.53846153846
"82",11,2018.55769230769
"83",15,2018.57692307692
"84",17,2018.59615384615
"85",12,2018.61538461538
"86",11,2018.63461538462
"87",11,2018.65384615385
"88",17,2018.67307692308
"89",23,2018.69230769231
"90",13,2018.71153846154
"91",19,2018.73076923077
"92",0,2018.75
"93",27,2018.76923076923
"94",34,2018.78846153846
"95",31,2018.80769230769
"96",7,2018.82692307692
"97",17,2018.84615384615
"98",19,2018.86538461538
"99",18,2018.88461538462
"100",21,2018.90384615385
"101",26,2018.92307692308
"102",38,2018.94230769231
"103",17,2018.96153846154
"104",25,2018.98076923077
"105",2,2019
"106",12,2019.01923076923
"107",0,2019.03846153846
"108",0,2019.05769230769
"109",19,2019.07692307692
"110",0,2019.09615384615
"111",13,2019.11538461538
"112",0,2019.13461538462
"113",14,2019.15384615385
"114",0,2019.17307692308
"115",9,2019.19230769231
"116",0,2019.21153846154
"117",3,2019.23076923077
"118",1,2019.25
"119",3,2019.26923076923
"120",0,2019.28846153846
"121",3,2019.30769230769
"122",4,2019.32692307692
"123",6,2019.34615384615
"124",0,2019.36538461538
"125",6,2019.38461538462
"126",0,2019.40384615385
"127",14,2019.42307692308
"128",0,2019.44230769231
"129",1,2019.46153846154
"130",0,2019.48076923077
"131",0,2019.5
"132",11,2019.51923076923
"133",0,2019.53846153846
"134",1,2019.55769230769
"135",0,2019.57692307692
"136",13,2019.59615384615
"137",0,2019.61538461538
"138",16,2019.63461538462
"139",0,2019.65384615385
"140",10,2019.67307692308
"141",0,2019.69230769231
"142",7,2019.71153846154
"143",3,2019.73076923077
"144",0,2019.75
"145",3,2019.76923076923
"146",1,2019.78846153846
"147",0,2019.80769230769
"148",0,2019.82692307692
"149",5,2019.84615384615
"150",22,2019.86538461538
"151",0,2019.88461538462
"152",0,2019.90384615385
"153",19,2019.92307692308
"154",0,2019.94230769231
"155",5,2019.96153846154
"156",0,2019.98076923077
"157",0,2020
"158",7,2020.01923076923
"159",17,2020.03846153846
"160",14,2020.05769230769
"161",17,2020.07692307692
"162",10,2020.09615384615
"163",23,2020.11538461538
"164",13,2020.13461538462
"165",17,2020.15384615385
"166",21,2020.17307692308
"167",21,2020.19230769231
