"","Cases","Year"
"1",0,2017
"2",0,2017.01923076923
"3",0,2017.03846153846
"4",0,2017.05769230769
"5",0,2017.07692307692
"6",0,2017.09615384615
"7",2,2017.11538461538
"8",1,2017.13461538462
"9",2,2017.15384615385
"10",0,2017.17307692308
"11",0,2017.19230769231
"12",0,2017.21153846154
"13",2,2017.23076923077
"14",0,2017.25
"15",0,2017.26923076923
"16",2,2017.28846153846
"17",0,2017.30769230769
"18",3,2017.32692307692
"19",4,2017.34615384615
"20",2,2017.36538461538
"21",2,2017.38461538462
"22",1,2017.40384615385
"23",1,2017.42307692308
"24",4,2017.44230769231
"25",1,2017.46153846154
"26",3,2017.48076923077
"27",2,2017.5
"28",2,2017.51923076923
"29",1,2017.53846153846
"30",1,2017.55769230769
"31",1,2017.57692307692
"32",2,2017.59615384615
"33",0,2017.61538461538
"34",1,2017.63461538462
"35",0,2017.65384615385
"36",4,2017.67307692308
"37",0,2017.69230769231
"38",1,2017.71153846154
"39",1,2017.73076923077
"40",0,2017.75
"41",1,2017.76923076923
"42",0,2017.78846153846
"43",11,2017.80769230769
"44",0,2017.82692307692
"45",4,2017.84615384615
"46",0,2017.86538461538
"47",0,2017.88461538462
"48",4,2017.90384615385
"49",14,2017.92307692308
"50",0,2017.94230769231
"51",0,2017.96153846154
"52",12,2017.98076923077
"53",0,2018
"54",0,2018.01923076923
"55",0,2018.03846153846
"56",1,2018.05769230769
"57",1,2018.07692307692
"58",1,2018.09615384615
"59",4,2018.11538461538
"60",0,2018.13461538462
"61",0,2018.15384615385
"62",34,2018.17307692308
"63",5,2018.19230769231
"64",0,2018.21153846154
"65",0,2018.23076923077
"66",8,2018.25
"67",5,2018.26923076923
"68",7,2018.28846153846
"69",5,2018.30769230769
"70",13,2018.32692307692
"71",6,2018.34615384615
"72",21,2018.36538461538
"73",12,2018.38461538462
"74",6,2018.40384615385
"75",4,2018.42307692308
"76",12,2018.44230769231
"77",15,2018.46153846154
"78",6,2018.48076923077
"79",4,2018.5
"80",9,2018.51923076923
"81",5,2018.53846153846
"82",11,2018.55769230769
"83",3,2018.57692307692
"84",7,2018.59615384615
"85",1,2018.61538461538
"86",4,2018.63461538462
"87",0,2018.65384615385
"88",202,2018.67307692308
"89",5,2018.69230769231
"90",34,2018.71153846154
"91",0,2018.73076923077
"92",0,2018.75
"93",12,2018.76923076923
"94",9,2018.78846153846
"95",8,2018.80769230769
"96",2,2018.82692307692
"97",5,2018.84615384615
"98",4,2018.86538461538
"99",7,2018.88461538462
"100",5,2018.90384615385
"101",6,2018.92307692308
"102",6,2018.94230769231
"103",13,2018.96153846154
"104",8,2018.98076923077
"105",0,2019
"106",2,2019.01923076923
"107",2,2019.03846153846
"108",4,2019.05769230769
"109",0,2019.07692307692
"110",2,2019.09615384615
"111",3,2019.11538461538
"112",4,2019.13461538462
"113",6,2019.15384615385
"114",4,2019.17307692308
"115",4,2019.19230769231
"116",3,2019.21153846154
"117",1,2019.23076923077
"118",3,2019.25
"119",2,2019.26923076923
"120",7,2019.28846153846
"121",0,2019.30769230769
"122",7,2019.32692307692
"123",2,2019.34615384615
"124",2,2019.36538461538
"125",1,2019.38461538462
"126",5,2019.40384615385
"127",7,2019.42307692308
"128",3,2019.44230769231
"129",2,2019.46153846154
"130",2,2019.48076923077
"131",3,2019.5
"132",6,2019.51923076923
"133",3,2019.53846153846
"134",4,2019.55769230769
"135",3,2019.57692307692
"136",3,2019.59615384615
"137",4,2019.61538461538
"138",1,2019.63461538462
"139",2,2019.65384615385
"140",3,2019.67307692308
"141",5,2019.69230769231
"142",3,2019.71153846154
"143",0,2019.73076923077
"144",8,2019.75
"145",5,2019.76923076923
"146",3,2019.78846153846
"147",5,2019.80769230769
"148",6,2019.82692307692
"149",0,2019.84615384615
"150",0,2019.86538461538
"151",2,2019.88461538462
"152",1,2019.90384615385
"153",7,2019.92307692308
"154",7,2019.94230769231
"155",9,2019.96153846154
"156",1,2019.98076923077
"157",0,2020
"158",1,2020.01923076923
"159",1,2020.03846153846
"160",1,2020.05769230769
"161",5,2020.07692307692
"162",2,2020.09615384615
"163",3,2020.11538461538
"164",4,2020.13461538462
"165",6,2020.15384615385
"166",3,2020.17307692308
"167",1,2020.19230769231
"168",0,2020.21153846154
"169",2,2020.23076923077
"170",0,2020.25
"171",1,2020.26923076923
"172",3,2020.28846153846
"173",3,2020.30769230769
"174",1,2020.32692307692
"175",3,2020.34615384615
"176",1,2020.36538461538
"177",1,2020.38461538462
"178",1,2020.40384615385
"179",0,2020.42307692308
"180",0,2020.44230769231
"181",1,2020.46153846154
"182",3,2020.48076923077
"183",0,2020.5
"184",0,2020.51923076923
"185",0,2020.53846153846
"186",0,2020.55769230769
"187",0,2020.57692307692
"188",0,2020.59615384615
"189",0,2020.61538461538
"190",0,2020.63461538462
"191",3,2020.65384615385
"192",0,2020.67307692308
"193",0,2020.69230769231
"194",1,2020.71153846154
"195",0,2020.73076923077
"196",2,2020.75
"197",2,2020.76923076923
"198",0,2020.78846153846
"199",0,2020.80769230769
"200",3,2020.82692307692
"201",1,2020.84615384615
"202",0,2020.86538461538
"203",1,2020.88461538462
"204",0,2020.90384615385
"205",0,2020.92307692308
"206",0,2020.94230769231
"207",0,2020.96153846154
"208",1,2020.98076923077
"209",0,2021
"210",0,2021.01923076923
"211",1,2021.03846153846
"212",0,2021.05769230769
"213",0,2021.07692307692
"214",0,2021.09615384615
"215",0,2021.11538461538
"216",0,2021.13461538462
"217",4,2021.15384615385
"218",0,2021.17307692308
"219",0,2021.19230769231
"220",0,2021.21153846154
"221",1,2021.23076923077
"222",0,2021.25
"223",0,2021.26923076923
"224",0,2021.28846153846
"225",0,2021.30769230769
"226",1,2021.32692307692
"227",0,2021.34615384615
"228",3,2021.36538461538
"229",0,2021.38461538462
"230",0,2021.40384615385
"231",1,2021.42307692308
"232",0,2021.44230769231
"233",0,2021.46153846154
"234",2,2021.48076923077
"235",1,2021.5
"236",0,2021.51923076923
"237",3,2021.53846153846
"238",2,2021.55769230769
"239",1,2021.57692307692
"240",0,2021.59615384615
"241",0,2021.61538461538
"242",0,2021.63461538462
"243",1,2021.65384615385
"244",0,2021.67307692308
"245",0,2021.69230769231
"246",0,2021.71153846154
"247",0,2021.73076923077
"248",0,2021.75
"249",1,2021.76923076923
"250",0,2021.78846153846
