"","Cases","Year"
"1",0,2017
"2",3,2017.01923076923
"3",12,2017.03846153846
"4",23,2017.05769230769
"5",0,2017.07692307692
"6",6,2017.09615384615
"7",0,2017.11538461538
"8",0,2017.13461538462
"9",202,2017.15384615385
"10",0,2017.17307692308
"11",0,2017.19230769231
"12",8,2017.21153846154
"13",6,2017.23076923077
"14",287,2017.25
"15",6,2017.26923076923
"16",16,2017.28846153846
"17",141,2017.30769230769
"18",0,2017.32692307692
"19",2,2017.34615384615
"20",106,2017.36538461538
"21",0,2017.38461538462
"22",0,2017.40384615385
"23",2,2017.42307692308
"24",0,2017.44230769231
"25",59,2017.46153846154
"26",14,2017.48076923077
"27",4,2017.5
"28",122,2017.51923076923
"29",0,2017.53846153846
"30",21,2017.55769230769
"31",4,2017.57692307692
"32",0,2017.59615384615
"33",0,2017.61538461538
"34",15,2017.63461538462
"35",0,2017.65384615385
"36",108,2017.67307692308
"37",5,2017.69230769231
"38",0,2017.71153846154
"39",41,2017.73076923077
"40",0,2017.75
"41",0,2017.76923076923
"42",0,2017.78846153846
"43",0,2017.80769230769
"44",5,2017.82692307692
"45",39,2017.84615384615
"46",0,2017.86538461538
"47",0,2017.88461538462
"48",2,2017.90384615385
"49",3,2017.92307692308
"50",0,2017.94230769231
"51",0,2017.96153846154
"52",13,2017.98076923077
"53",0,2018
"54",2,2018.01923076923
"55",0,2018.03846153846
"56",17,2018.05769230769
"57",6,2018.07692307692
"58",48,2018.09615384615
"59",0,2018.11538461538
"60",14,2018.13461538462
"61",28,2018.15384615385
"62",24,2018.17307692308
"63",17,2018.19230769231
"64",0,2018.21153846154
"65",55,2018.23076923077
"66",71,2018.25
"67",181,2018.26923076923
"68",181,2018.28846153846
"69",47,2018.30769230769
"70",59,2018.32692307692
"71",59,2018.34615384615
"72",64,2018.36538461538
"73",67,2018.38461538462
"74",28,2018.40384615385
"75",122,2018.42307692308
"76",25,2018.44230769231
"77",105,2018.46153846154
"78",59,2018.48076923077
"79",55,2018.5
"80",155,2018.51923076923
"81",78,2018.53846153846
"82",77,2018.55769230769
"83",13,2018.57692307692
"84",49,2018.59615384615
"85",32,2018.61538461538
"86",203,2018.63461538462
"87",96,2018.65384615385
"88",30,2018.67307692308
"89",13,2018.69230769231
"90",24,2018.71153846154
"91",11,2018.73076923077
"92",71,2018.75
"93",65,2018.76923076923
"94",66,2018.78846153846
"95",70,2018.80769230769
"96",26,2018.82692307692
"97",29,2018.84615384615
"98",35,2018.86538461538
"99",41,2018.88461538462
"100",63,2018.90384615385
"101",66,2018.92307692308
"102",93,2018.94230769231
"103",84,2018.96153846154
"104",12,2018.98076923077
"105",0,2019
"106",43,2019.01923076923
"107",24,2019.03846153846
"108",26,2019.05769230769
"109",248,2019.07692307692
"110",17,2019.09615384615
"111",164,2019.11538461538
"112",0,2019.13461538462
"113",272,2019.15384615385
"114",0,2019.17307692308
"115",55,2019.19230769231
"116",71,2019.21153846154
"117",25,2019.23076923077
"118",30,2019.25
"119",181,2019.26923076923
"120",146,2019.28846153846
"121",147,2019.30769230769
"122",59,2019.32692307692
"123",47,2019.34615384615
"124",63,2019.36538461538
"125",97,2019.38461538462
"126",59,2019.40384615385
"127",213,2019.42307692308
"128",85,2019.44230769231
"129",116,2019.46153846154
"130",64,2019.48076923077
"131",133,2019.5
"132",109,2019.51923076923
"133",93,2019.53846153846
"134",58,2019.55769230769
"135",358,2019.57692307692
"136",280,2019.59615384615
"137",110,2019.61538461538
"138",91,2019.63461538462
"139",138,2019.65384615385
"140",59,2019.67307692308
"141",55,2019.69230769231
"142",149,2019.71153846154
"143",71,2019.73076923077
"144",134,2019.75
"145",60,2019.76923076923
"146",59,2019.78846153846
"147",38,2019.80769230769
"148",11,2019.82692307692
"149",31,2019.84615384615
"150",17,2019.86538461538
"151",76,2019.88461538462
"152",42,2019.90384615385
"153",31,2019.92307692308
"154",4,2019.94230769231
"155",58,2019.96153846154
"156",39,2019.98076923077
"157",6,2020
"158",43,2020.01923076923
"159",105,2020.03846153846
"160",110,2020.05769230769
"161",77,2020.07692307692
"162",17,2020.09615384615
"163",164,2020.11538461538
"164",97,2020.13461538462
"165",35,2020.15384615385
"166",107,2020.17307692308
"167",21,2020.19230769231
"168",22,2020.21153846154
"169",17,2020.23076923077
"170",17,2020.25
"171",4,2020.26923076923
"172",22,2020.28846153846
"173",4,2020.30769230769
"174",22,2020.32692307692
"175",4,2020.34615384615
"176",17,2020.36538461538
"177",21,2020.38461538462
"178",22,2020.40384615385
"179",5,2020.42307692308
"180",5,2020.44230769231
"181",17,2020.46153846154
"182",4,2020.48076923077
"183",16,2020.5
"184",10,2020.51923076923
"185",17,2020.53846153846
"186",12,2020.55769230769
"187",0,2020.57692307692
"188",0,2020.59615384615
"189",11,2020.61538461538
"190",3,2020.63461538462
"191",4,2020.65384615385
"192",5,2020.67307692308
"193",5,2020.69230769231
"194",22,2020.71153846154
"195",14,2020.73076923077
"196",19,2020.75
"197",10,2020.76923076923
"198",41,2020.78846153846
"199",5,2020.80769230769
"200",4,2020.82692307692
"201",21,2020.84615384615
"202",8,2020.86538461538
"203",15,2020.88461538462
"204",14,2020.90384615385
