"","Cases","Year"
"1",39,2017
"2",173,2017.01923076923
"3",228,2017.03846153846
"4",726,2017.05769230769
"5",30,2017.07692307692
"6",922,2017.09615384615
"7",160,2017.11538461538
"8",42,2017.13461538462
"9",909,2017.15384615385
"10",153,2017.17307692308
"11",46,2017.19230769231
"12",446,2017.21153846154
"13",401,2017.23076923077
"14",481,2017.25
"15",362,2017.26923076923
"16",423,2017.28846153846
"17",364,2017.30769230769
"18",351,2017.32692307692
"19",349,2017.34615384615
"20",459,2017.36538461538
"21",278,2017.38461538462
"22",453,2017.40384615385
"23",444,2017.42307692308
"24",429,2017.44230769231
"25",429,2017.46153846154
"26",375,2017.48076923077
"27",482,2017.5
"28",740,2017.51923076923
"29",37,2017.53846153846
"30",771,2017.55769230769
"31",1157,2017.57692307692
"32",33,2017.59615384615
"33",984,2017.61538461538
"34",869,2017.63461538462
"35",12,2017.65384615385
"36",641,2017.67307692308
"37",513,2017.69230769231
"38",597,2017.71153846154
"39",645,2017.73076923077
"40",1818,2017.75
"41",260,2017.76923076923
"42",0,2017.78846153846
"43",643,2017.80769230769
"44",288,2017.82692307692
"45",1246,2017.84615384615
"46",220,2017.86538461538
"47",39,2017.88461538462
"48",456,2017.90384615385
"49",1190,2017.92307692308
"50",231,2017.94230769231
"51",113,2017.96153846154
"52",290,2017.98076923077
"53",31,2018
"54",121,2018.01923076923
"55",242,2018.03846153846
"56",290,2018.05769230769
"57",385,2018.07692307692
"58",701,2018.09615384615
"59",46,2018.11538461538
"60",382,2018.13461538462
"61",327,2018.15384615385
"62",382,2018.17307692308
"63",305,2018.19230769231
"64",305,2018.21153846154
"65",305,2018.23076923077
"66",348,2018.25
"67",305,2018.26923076923
"68",348,2018.28846153846
"69",330,2018.30769230769
"70",305,2018.32692307692
"71",715,2018.34615384615
"72",348,2018.36538461538
"73",305,2018.38461538462
"74",284,2018.40384615385
"75",330,2018.42307692308
"76",532,2018.44230769231
"77",715,2018.46153846154
"78",497,2018.48076923077
"79",305,2018.5
"80",548,2018.51923076923
"81",406,2018.53846153846
"82",633,2018.55769230769
"83",459,2018.57692307692
"84",497,2018.59615384615
"85",504,2018.61538461538
"86",305,2018.63461538462
"87",1118,2018.65384615385
"88",526,2018.67307692308
"89",329,2018.69230769231
"90",605,2018.71153846154
"91",438,2018.73076923077
"92",374,2018.75
